ID,Title,Body,Labels
T-001,Criar repositório + branches main/develop,"Descrição: Criar repo (privado/público), proteger branches main/develop.
CA: Repo criado; branches protegidas.
Dep: —","planning,repo"
T-002,"Adicionar .gitignore (Node, Python, Docker, logs)","Descrição: Arquivo .gitignore cobrindo artefatos comuns e logs.
CA: Itens indesejados ignorados.
Dep: T-001","planning,repo"
T-003,Criar README.md com visão MVP e KPIs,"Descrição: Escrever README com objetivo, KPIs, stack e como rodar.
CA: Seções presentes e claras.
Dep: T-001","planning,docs"
T-004,Definir LICENSE (MIT/Apache2),"Descrição: Escolher licença (MIT/Apache2) e adicionar arquivo LICENSE.
CA: LICENSE no repo.
Dep: T-001","planning,legal"
T-005,Criar templates de Issue e PR,"Descrição: Adicionar .github/ISSUE_TEMPLATE e PULL_REQUEST_TEMPLATE.md.
CA: Templates ativos.
Dep: T-001","planning,repo"
T-006,ADR-000: Arquitetura geral,"Descrição: Documentar arquitetura (Evolution API, Postgres, Redis, RabbitMQ, OpenAI).
CA: docs/decisions/ADR-000.md commitado.
Dep: T-003","planning,adr,architecture"
T-007,ADR-001: Política de segredos,"Descrição: Definir uso de Vault/GitHub Secrets e proibições.
CA: ADR publicado.
Dep: T-006","security,adr"
T-008,ADR-002: Estratégia de RAG,"Descrição: Fontes, embeddings, top-k, fallback e custos.
CA: Trade-offs documentados.
Dep: T-006","adr,rag"
T-009,ADR-003: Métrica-norte e eventos de conversão,"Descrição: Definir 'pedido de orçamento' e TTFR (tempo até 1ª resposta).
CA: Eventos e cálculo definidos.
Dep: T-003","adr,metrics"
T-010,ADR-004: Estratégia de debounce (30–120s),"Descrição: Definir janelas por cenário e impacto.
CA: Tabela de cenários e janelas.
Dep: T-006","adr,bot"
T-011,ADR-005: Retenção/anonimização,"Descrição: Política parametrizável para PII e histórico.
CA: Parâmetros definidos.
Dep: T-007","adr,security,privacy"
T-012,Criar CONTRIBUTING.md,"Descrição: Guia de contribuição, convenções, testes.
CA: Arquivo presente.
Dep: T-003","docs,repo"
T-013,Definir convenções de nomes,"Descrição: Padrões para tabelas, filas, exchanges, serviços.
CA: /docs/standards.md.
Dep: T-006","architecture,docs"
T-014,Roadmap de releases (MVP → Piloto → Produção),"Descrição: Roadmap e critérios de promoção.
CA: /docs/roadmap.md.
Dep: T-003","planning,docs"
T-015,Configurar Kanban no GitHub Projects,"Descrição: Criar colunas To do / Doing / Review / Done.
CA: Board ativo.
Dep: T-001","planning,repo"
T-016,docker-compose: Postgres e Redis,"Descrição: Compose com Postgres e Redis; volumes e network básicos.
CA: docker compose up sobe 2 serviços.
Dep: T-013","infra,docker"
T-017,Adicionar RabbitMQ ao compose,"Descrição: Serviço RabbitMQ (+ mgmt opcional) com usuários e vhost.
CA: Fila acessível.
Dep: T-016","infra,docker,queue"
T-018,Adicionar Evolution API ao compose,"Descrição: Serviço evolution com healthcheck e variáveis de ambiente.
CA: Serviço healthy.
Dep: T-017","infra,docker,api"
T-019,Volume /evolution/instances,"Descrição: Montar volume persistente para sessões WhatsApp.
CA: Volume configurado.
Dep: T-018","infra,docker,storage"
T-020,Healthchecks para todos os serviços,"Descrição: Adicionar healthchecks consistentes a compose.
CA: Todos healthy após boot.
Dep: T-018","infra,observability"
T-021,Criar env/.env.example,"Descrição: Placeholders de Postgres, Redis, RabbitMQ, API keys.
CA: Arquivo comentado.
Dep: T-016","infra,security"
T-022,Makefile (up/down/logs),"Descrição: Facilitar ciclo de vida: up, down, logs, e2e.
CA: make up/down/logs funcionando.
Dep: T-016","infra,dx"
T-023,Proxy reverso com API key (NGINX/Caddy),"Descrição: Proteger Evolution API com header de autorização.
CA: Requisições sem header falham.
Dep: T-018","infra,security,api"
T-024,Rede docker dedicada,"Descrição: Criar bridge específica para serviços.
CA: Network nomeada criada.
Dep: T-016","infra,docker"
T-025,Criar usuário/DB no Postgres (migração bootstrap),"Descrição: Script/migração para role e database.
CA: DB e role criados.
Dep: T-016","db,migrations"
T-026,Backup local do Postgres (pg_dump cron),"Descrição: Script de backup e doc de restore.
CA: Backup e restore testados.
Dep: T-025","db,backup"
T-027,Seed de dados mínimos,"Descrição: Seed idempotente (admin interno, flags).
CA: Seed reexecutável.
Dep: T-025","db,seed"
T-028,Configurar Redis cache-only,"Descrição: Desativar persistência (appendonly no).
CA: Redis como cache.
Dep: T-016","infra,cache"
T-029,DLQ no RabbitMQ,"Descrição: Exchanges/bindings/TTL para dead letters.
CA: DLQ ativo.
Dep: T-017","queue,reliability"
T-030,Profiles dev vs prod no compose,"Descrição: Alternar serviços extras com --profile.
CA: Perfis funcionando.
Dep: T-016","infra,docker"
T-031,Script wait-for-it/dockerize,"Descrição: Sincronizar inicialização por dependências.
CA: Ordem robusta.
Dep: T-016","infra,dx"
T-032,Documentar portas e exposição,"Descrição: Tabela de portas; recomendações de segurança.
CA: README atualizado.
Dep: T-023","docs,security"
